"Rank","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"217","","Carolina (CAR)","","DST13","4","108","304","191.2","26.4","201.0","-16.0"
"218","","Chris Ivory","BUF","RB67","11","119","278","188.7","33.9","231.0","+13.0"
"219","","Courtland Sutton","DEN","WR80","10","107","269","195.6","40.7","213.0","-6.0"
"220","","Jake Elliott","PHI","K6","9","104","550","202.1","55.1","196.0","-24.0"
"221","","James Washington","PIT","WR81","7","109","272","195.5","44.6","202.0","-19.0"
"222","","Corey Coleman","BUF","WR82","11","103","262","188.7","41.0","259.0","+37.0"
"223","","Matt Prater","DET","K7","6","109","328","196.3","30.0","226.0","+3.0"
"224","","Kansas City (KC)","","DST14","12","119","359","200.6","36.0","229.0","+5.0"
"225","","Spencer Ware","KC","RB68","12","129","255","196.8","37.6","214.0","-11.0"
"226","","Dan Bailey","DAL","K8","8","112","361","199.1","34.6","210.0","-16.0"
"227","","Chicago (CHI)","","DST15","5","123","302","200.0","27.4","234.0","+7.0"
"228","","Jermaine Kearse","NYJ","WR83","11","95","274","202.3","39.9","240.0","+12.0"
"229","","Kalen Ballage","MIA","RB69","11","95","469","208.5","70.2","238.0","+9.0"
"230","","Atlanta (ATL)","","DST16","8","127","355","201.8","31.2","257.0","+27.0"
"231","","Albert Wilson","MIA","WR84","11","123","280","205.3","43.2","271.0","+40.0"
"232","","Joe Flacco","BAL","QB29","10","102","280","203.5","33.0","243.0","+11.0"
"233","","Chris Boswell","PIT","K9","7","117","369","201.7","32.3","192.0","-41.0"
"234","","Harrison Butker","KC","K10","12","118","370","202.8","32.5","195.0","-39.0"
"235","","Arizona (ARI)","","DST17","9","126","320","205.9","30.3","223.0","-12.0"
"236","","Jeremy Hill","NE","RB70","11","92","514","226.9","75.5","239.0","+3.0"
"237","","Wayne Gallman","NYG","RB71","9","120","336","208.9","44.2","312.0","+75.0"
"238","","Jake Butt","DEN","TE27","10","99","296","213.3","44.2","264.0","+26.0"
"239","","Mason Crosby","GB","K11","7","121","366","206.0","32.0","215.0","-24.0"
"240","","Corey Grant","JAC","RB72","9","53","288","220.0","57.2","297.0","+57.0"
"241","","Dante Pettis","SF","WR85","11","110","371","213.1","51.1","255.0","+14.0"
"242","","Luke Willson","DET","TE28","6","153","295","211.7","38.9","290.0","+48.0"
"243","","Green Bay (GB)","","DST18","7","144","357","218.7","37.7","282.0","+39.0"
"244","","Robbie Gould","SF","K12","11","124","371","208.9","35.4","221.0","-23.0"
"245","","Jonathan Williams","NO","RB73","6","127","330","205.2","58.7","362.0","+117.0"
"246","","Vernon Davis","WAS","TE29","4","130","268","213.2","33.8","281.0","+35.0"
"247","","Sam Bradford","ARI","QB30","9","143","476","216.6","50.3","265.0","+18.0"
"248","","Willie Snead","BAL","WR86","10","97","301","221.4","46.2","272.0","+24.0"
"249","","Brandon Marshall","SEA","WR87","7","137","287","212.7","39.2","278.0","+29.0"
"250","","Tennessee (TEN)","","DST19","8","111","356","217.1","43.1","217.0","-33.0"
"251","","Terrance Williams","DAL","WR88","8","111","285","213.9","39.9","244.0","-7.0"
"252","","Chase Edmonds","ARI","RB74","9","128","275","220.5","47.0","258.0","+6.0"
"253","","Jordan Matthews","FA","WR89","","119","307","225.2","60.5","233.0","-20.0"
"254","","C.J. Prosise","SEA","RB75","7","145","283","231.1","45.1","288.0","+34.0"
"255","","Graham Gano","CAR","K13","4","122","386","216.1","35.6","235.0","-20.0"
"256","","Tyler Boyd","CIN","WR90","9","91","336","230.1","69.6","395.0","+139.0"
"257","","Ryan Succop","TEN","K14","8","125","388","216.8","41.7","252.0","-5.0"
"258","","Terrelle Pryor","NYJ","WR91","11","120","289","222.6","42.0","253.0","-5.0"
"259","","Nick Vannett","SEA","TE30","7","145","312","222.9","52.1","355.0","+96.0"
"260","","Adam Vinatieri","IND","K15","9","116","368","216.9","35.2","225.0","-35.0"
"261","","Cincinnati (CIN)","","DST20","9","107","339","225.4","39.5","341.0","+80.0"
"262","","Kai Forbath","FA","K16","","128","374","227.3","48.4","262.0","0.0"
"263","","Eric Decker","NE","WR92","11","101","284","222.4","40.8","207.0","-56.0"
"264","","Tyler Kroft","CIN","TE31","9","145","286","232.2","39.0","316.0","+52.0"
"265","","Dallas Goedert","PHI","TE32","9","159","310","224.1","48.3","254.0","-11.0"
"266","","New York (NYG)","","DST21","9","149","358","224.0","40.0","292.0","+26.0"
"267","","Brandon McManus","DEN","K17","10","159","364","227.8","42.2","267.0","0.0"
"268","","Tre'Quan Smith","NO","WR93","6","135","315","239.4","55.1","263.0","-5.0"
"269","","Ameer Abdullah","DET","RB76","6","137","365","232.5","48.3","279.0","+10.0"
"270","","Alfred Morris","SF","RB77","11","144","309","229.6","46.6","340.0","+70.0"
"271","","Cleveland (CLE)","","DST22","11","114","381","251.4","70.0","305.0","+34.0"
"272","","John Kelly","LAR","RB78","12","159","325","257.2","52.8","275.0","+3.0"
"273","","Trent Taylor","SF","WR94","11","133","290","242.2","44.3","334.0","+61.0"
"274","","Josh Lambo","JAC","K18","9","162","376","232.9","47.1","266.0","-8.0"
"275","","Lamar Jackson","BAL","QB31","10","155","534","259.6","83.1","218.0","-57.0"
"276","","James Conner","PIT","RB79","7","156","335","252.2","52.7","222.0","-54.0"
"277","","Ka'imi Fairbairn","HOU","K19","10","167","391","252.8","58.4","245.0","-32.0"
"278","","Sam Darnold","NYJ","QB32","11","163","510","252.9","65.7","219.0","-59.0"
"279","","Charles Sims","TB","RB80","5","148","316","246.1","48.2","309.0","+30.0"
"280","","Ed Dickson","SEA","TE33","7","153","302","242.1","44.5","286.0","+6.0"
"281","","Josh Allen","BUF","QB33","11","172","523","251.5","80.2","274.0","-7.0"
"282","","Cairo Santos","FA","K20","","166","387","250.2","60.5","323.0","+41.0"
"283","","Antonio Gates","FA","TE34","","166","331","237.6","44.1","299.0","+16.0"
"284","","Detroit (DET)","","DST23","6","167","375","254.3","54.7","268.0","-16.0"
"285","","Josh McCown","NYJ","QB34","11","161","319","247.7","41.4","314.0","+29.0"
"286","","Mack Hollins","PHI","WR95","9","135","370","253.8","59.2","413.0","+127.0"
"287","","Daniel Carlson","MIN","K21","10","168","390","245.5","56.0","232.0","-55.0"
"288","","Jaron Brown","SEA","WR96","7","125","295","250.3","35.1","351.0","+63.0"
"289","","Steven Hauschka","BUF","K22","11","164","394","259.8","64.4","287.0","-2.0"
